time,numworkers,streamsize
8378834,16,5000
8383934,16,5000
8388996,16,5000
8394059,16,5000
8399119,16,5000
8404189,16,5000
8409293,16,5000
8414398,16,5000
8419499,16,5000
8424603,16,5000
8429666,16,5000
8434730,16,5000
8439849,16,5000
8444972,16,5000
8450091,16,5000
8455151,16,5000
8460255,16,5000
8465359,16,5000
8470419,16,5000
8475478,16,5000
8480538,16,5000
8485598,16,5000
8490689,16,5000
8495792,16,5000
8500899,16,5000
8505960,16,5000
8511020,16,5000
8516082,16,5000
8521142,16,5000
8526246,16,5000
8531350,16,5000
8536452,16,5000
8541514,16,5000
8546574,16,5000
8551634,16,5000
8556722,16,5000
8561822,16,5000
8566942,16,5000
8572004,16,5000
8577064,16,5000
8582123,16,5000
8587183,16,5000
8592284,16,5000
8597386,16,5000
8602506,16,5000
8607570,16,5000
8612631,16,5000
8617691,16,5000
8622752,16,5000
8627815,16,5000
8632876,16,5000
8637976,16,5000
8643077,16,5000
8648141,16,5000
8653257,16,5000
8658318,16,5000
8663421,16,5000
8668483,16,5000
8673543,16,5000
8678607,16,5000
8683707,16,5000
8688768,16,5000
8693828,16,5000
8698888,16,5000
8703949,16,5000
8709012,16,5000
8714074,16,5000
8719135,16,5000
8724195,16,5000
8729255,16,5000
8734358,16,5000
8739461,16,5000
8744567,16,5000
8749630,16,5000
8754690,16,5000
8759750,16,5000
8764853,16,5000
8769915,16,5000
8774958,16,5000
8780018,16,5000
8785078,16,5000
8790140,16,5000
8795203,16,5000
8800264,16,5000
8805323,16,5000
8810383,16,5000
8815487,16,5000
8820590,16,5000
8825692,16,5000
8830756,16,5000
8835817,16,5000
8840877,16,5000
8845979,16,5000
8851041,16,5000
8856101,16,5000
8861161,16,5000
8866215,16,5000
8871277,16,5000
8876384,16,5000
8881448,16,5000
8886510,16,5000
8891571,16,5000
8896631,16,5000
8901742,16,5000
8906844,16,5000
8911948,16,5000
8917053,16,5000
8922157,16,5000
8927269,16,5000
8932331,16,5000
8937435,16,5000
8942530,16,5000
8947591,16,5000
8952651,16,5000
8957710,16,5000
8962770,16,5000
8967873,16,5000
8972934,16,5000
8977994,16,5000
8983118,16,5000
8988182,16,5000
8993243,16,5000
8998348,16,5000
9003413,16,5000
9008485,16,5000
9013589,16,5000
9018706,16,5000
9023769,16,5000
9028830,16,5000
9033946,16,5000
9039024,16,5000
9044127,16,5000
9049233,16,5000
9054337,16,5000
9059445,16,5000
9064507,16,5000
9069568,16,5000
9074677,16,5000
9079738,16,5000
9084798,16,5000
9089858,16,5000
9094918,16,5000
9100022,16,5000
9105088,16,5000
9110149,16,5000
9115209,16,5000
9120313,16,5000
9125375,16,5000
9130437,16,5000
9135498,16,5000
9140568,16,5000
9145686,16,5000
9150747,16,5000
9155808,16,5000
9160869,16,5000
9165929,16,5000
9170959,16,5000
9176075,16,5000
9181137,16,5000
9186197,16,5000
9191257,16,5000
9196316,16,5000
9201424,16,5000
9206501,16,5000
9211563,16,5000
9216668,16,5000
9221728,16,5000
